;TrV;Benämning;Definition;Synonym
Funktionella system;;Utrymmesskapande system;funktionellt system som skapar utrymme;
Funktionella system;A;Mark- och grundsystem;utrymmesskapande system på eller i mark;
Funktionella system;AB;Terrass;marksystem som utgör underlag för byggnadsverk;bank
Funktionella system;ABB;Bank;terrass på fylld mark;
Funktionella system;AC;Grundläggning;mark- och grundsystem som avslutar ett byggnadsverk neråt;grund
Funktionella system;AD;Överbyggnad för trafik;marksystem för trafik;
Funktionella system;ADB;Överbyggnad för primär trafik;överbyggnad för ordinarie trafik;körbana, körfält, gångbana, cykelbana, gång- och cykelbana, rullbana, spårunderbyggnad
Funktionella system;ADC;Överbyggnad för sekundär trafik;överbyggnad för trafik för påfart, vändning, tillfälligt stopp och andra trafikrelaterade fordonsrörelser;vägren, taxibana, hållplats, vändplats
Funktionella system;AE;Överbyggnad för sidoområde;marksystem för trafikseparation och säkerhet;
Funktionella system;AEB;Refug;överbyggnad för sidoområde för skydd av fotgängare;
Funktionella system;AEC;Rondell;överbyggnad för sidoområde för separation av trafik i cirkulationsplats;
Funktionella system;AED;Stödremsa;överbyggnad för sidoområde som stöder överbyggnad för trafik;
Funktionella system;AEE;Sidoremsa;överbyggnad för sidoområde som åtskiljer överbyggnader för trafik;
Funktionella system;AEF;Mittremsa;överbyggnad för sidoområde som åtskiljer överbyggnader med motriktad trafik;
Funktionella system;AEG;Innerslänt;överbyggnad för sidoområde mellan stödremsa och dikesbotten;
Funktionella system;AEH;Ytterslänt;överbyggnad för sidoområde för slänt utanför dikesbotten;
Funktionella system;AEJ;Säkerhetsområde vid banände;överbyggnad för sidoområde för säkerhet vid ände av rullbana;
Funktionella system;AEK;Utrullningsområde;överbyggnad för sidoområde för inbromsning av flygplan under avbruten start;
Funktionella system;AF;Överbyggnad för plan;marksystem för annan primär verksamhet än trafik;
Funktionella system;AG;Vegetationsöverbyggnad;marksystem för vegetation;
Funktionella system;AH;Vattenanläggning;marksystem för hantering av vatten;
Funktionella system;AHB;Damm;vattenanläggning för lagring;Fördröjningsanläggning
Funktionella system;AHC;Vattenväg;vattenanläggning för öppen ledning;
Funktionella system;AHD;Infiltrationsanläggning;vattenanläggning för ledning in i mark;
Funktionella system;B;Väggsystem;utrymmesskapande system som formar och avskiljer utrymmen vertikalt;bergrumsvägg, dammvägg, stödmur, tunnelvägg
Funktionella system;BB;Yttervägg;vägg över mark mot utsidan av byggnadsverk;sänktunnelvägg
Funktionella system;BC;Innervägg;vägg mellan utrymmen i byggnadsverk;
Funktionella system;BD;Vägg mot mark;vägg mot mark;
Funktionella system;BDB;Källarvägg;vägg mot mark för invändigt utrymme;kulvertvägg
Funktionella system;BDC;Markvägg;vägg mot mark för utvändigt utrymme;frontmur, skärning, spont, stödmur
Funktionella system;BDD;Tunnelvägg;vägg mot mark för utrymme under mark;bergrumsvägg
Funktionella system;BE;Terrängmur;vägg fristående på mark;mur
Funktionella system;BF;Vattenvägg;vägg mot vatten;
Funktionella system;BFB;Kaj- och pirvägg;vattenvägg mellan land och vatten;kaj, kajvägg
Funktionella system;BFC;Dammvägg;vattenvägg i vattendrag;dammvägg
Funktionella system;C;Bjälklagssystem;utrymmesskapande system som formar och avskiljer utrymmen horisontellt;altan, balkongbjälklag, bro, brobana, brygga,  loftgångsbjälklag, lastkaj
Funktionella system;CB;Bottenbjälklag;bjälklagssystem under det lägsta våningsplanet i en byggnad;sänktunnelbotten
Funktionella system;CC;Mellanbjälklag;bjälklagssystem mellan våningsplan i en byggnad;våningsbjälklag
Funktionella system;CD;Vindsbjälklag;bjälklagssystem över det högsta våningsplanet i en byggnad;
Funktionella system;CE;Utskjutande bjälklag;bjälklagssystem som skjuter ut från byggnad;Balkongbjälklag, dockningsstation, lastkaj, loftgångsbjälklag, svalgångsbjälklag
Funktionella system;CEB;Balkongbjälklag;utskjutande bjälklagssystem för stationär aktivitet;
Funktionella system;CEC;Loftgångsbjälklag;utskjutande bjälklagssystem för åtkomst till entré;Svalgångsbjälklag
Funktionella system;CED;Lastkaj;utskjutande bjälklagssystem för angöring av fordon;
Funktionella system;CF;Broöverbyggnad;bjälklagssystem över ett hinder;
Funktionella system;CFB;Fast bro;broöverbyggnad med fast brobana;
Funktionella system;CFC;Öppningsbar bro;broöverbyggnad med rörlig brobana;
Funktionella system;CG;Altan;bjälklagssystem över mark, vanligen utskjutande från en byggnad;
Funktionella system;CH;Brygga;bjälklagssystem stående över vatten;
