target,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
apparatskåp,fräsmaskin,gruvmaskin,hisschakt,hissmaskin,hissmaskineri,hissmaskinrum,kylmaskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,huvudjordningsskena,huvudledningsschema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,kontaktormotorskydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,driftcentral,elcentral,gruppcentral,huvudcentral,panncentral,reglercentral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,hyresgästanpassning,sprinkleranläggning,trafiksignalanläggning,transportanläggning,transporthandling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,funktionsbeskrivning,funktionssamband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,framvägg,gänga,hänsyn,inlägg,läge,pärm,ugn,verktyg,vikt,väg,vägg,väggskåp,väggyta,värde,värme,växel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,beräkning,färgmärkning,jordning,kabelmärkning,märkband,märkbricka,märkning,norrpil,partmärkning,övervakning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,inställningsratt,inställningsvärd,uppställningsplats,återställningsknapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,beställare,bärverk,plåtslageri,ställdon,ställverk,ställverksrum,tillverkare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,appretering,avloppshantering,forcering,hopmontering,injustering,integrering,miniminivå,mobilantenn,montering,monteringshål,motionering,planering,reglering,uppdatering,väggmontering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,busskabel,dubbeldörr,eltel,gummikabel,kabel,kabelkanal,kabelmantel,kabelrör,kabelskärm,kabelstege,kabeltrumma,kablag,kablage,kamera,kapitel,kraftbehov,kraftkabel,kylbaffel,mobil,sidogavel,skötsel,tabell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,allmänbelysning,bakgrundsnivå,belastning,belysning,belysningsnivå,belysningsstyrka,belysningsteknik,beskrivning,betongslipers,kabelingång,reservbelysning,systembeteckning,vägbelysning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
