target,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
apparatskåp,fräsmaskin,gruvmaskin,hisschakt,hissmaskin,hissmaskineri,hissmaskinrum,kylmaskin,elskåp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,huvudjordningsskena,huvudledningsschema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,kontaktormotorskydd,installationsskåp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjälklagskonstruktion_med_stomme_av_balkar,desinfektionsmedel,instruktionsbok,instruktionsfilm,instruktionsmanual,instruktionsvideo,konstruktionsansvar,konstruktionsarbet,konstruktionsbetong,konstruktionsdel,konstruktionsdetalj,konstruktionsföretag,konstruktionshöjd,konstruktionskrav,konstruktionsregel,konstruktionsrör,konstruktionsstandard,konstruktionsstål,konstruktionssystem,konstruktionsteknik,konstruktionstryck,konstruktionstyp,konstruktionsvirke,tvärkontraktionstal,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjälklagskonstruktion_med_stomme_av_balkar,anläggningskonstruktion,betongkonstruktion,bjälklagskonstruktion,brokonstruktion,bygginstruktion,byggkonjunktur,byggkonstruktion,byggkonstruktör,byggnadskonstruktion,byggproduktion,huvudkonstruktion,plåtkonstruktion,regelkonstruktion,skivkonstruktion,spårkonstruktion,systemkonstruktion,tegelkonstruktion,väggkonstruktion,ytterväggskonstruktion,övergångskonstruktion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjälklagskonstruktion_med_stomme_av_balkar,distributionstransformator,isolationstransformator,spänningstransformator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjälklagskonstruktion_med_stomme_av_balkar,demonstrationsanläggning,konstruktionselement,konstruktionsförändring,konstruktionshandling,konstruktionslösning,konstruktionsmaterial,konstruktionsprincip,konstruktionsritning,konstruktionsunderlag,konstruktionsuppgift,konstruktionsändring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barriär,livsmedelsverk,naturvårdverk,råvattentäkt,ytvattenförekomst,ytvattenverk,parkeringsplanka,stängsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barriär,djupförvar,högreservoar,kranförare,mjukgörare,slutförvar,slutförvaring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barriär,akvifären,dagvatten,lakvatten,lastplattform,länsvatten,råvatten,takplatta,älvvatten,ölandssten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barriär,genomsläpplighet,passagemöjlighet,pendlingsmöjlighet,rekreationsmöjlighet,rörelsemöjlighet,tillgänglighet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bild,bakgrundsbild,bakgrundsljus,bakgrundsstörning,konstverk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bild,beslutsångest,bildhastighet,fullständighet,skrivhastighet,tavla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bild,batterikapacitet,bildgalleri,bildkavalkad,bildkvalitet,bildkvalité,muralmålning,byggkvalitet,delkapitel,silvervatten,stålkvalitet,utskriftskvalitet,videokvalitet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bimetallbrytare,automatsäkring,elsäkerhet,indikering,nätspänning,simträning,slinga,smältsäkring,snabbkoppling,säkring,sökning,täflingar,tätning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bimetallbrytare,betare,biarea,birstaverken,bredarida,brukare,brytare,bryte,drönare,jonbytare,nedbrytbarhet,rekryterare,skrymtare,strömbrytare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bimetallbrytare,benvärmare,dieselvärmare,doftspridare,doppvärmare,kupévärmare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
